fecha,producto,precio
2024-01-03,Camiseta,29.99
2024-01-08,Pantalon,59.99
2024-01-12,Zapatillas,89.99
2024-01-15,Camiseta,29.99
2024-01-22,Chaqueta,119.99
2024-02-02,Pantalon,59.99
2024-02-07,Zapatillas,89.99
2024-02-14,Camiseta,29.99
2024-02-19,Chaqueta,119.99
2024-02-25,Pantalon,59.99
2024-03-04,Zapatillas,89.99
2024-03-11,Camiseta,29.99
2024-03-18,Chaqueta,119.99
2024-03-22,Pantalon,59.99
2024-03-28,Zapatillas,89.99
2024-04-03,Camiseta,29.99
2024-04-09,Pantalon,59.99
2024-04-15,Chaqueta,119.99
2024-04-21,Zapatillas,89.99
2024-04-27,Camiseta,29.99
2024-05-05,Pantalon,59.99
2024-05-11,Zapatillas,89.99
2024-05-17,Chaqueta,119.99
2024-05-23,Camiseta,29.99
2024-05-29,Pantalon,59.99
2024-06-04,Zapatillas,89.99
2024-06-10,Camiseta,29.99
2024-06-16,Chaqueta,119.99
2024-06-22,Pantalon,59.99
2024-06-28,Zapatillas,89.99
2024-07-03,Camiseta,29.99
2024-07-09,Pantalon,59.99
2024-07-15,Chaqueta,119.99
2024-07-21,Zapatillas,89.99
2024-07-27,Camiseta,29.99
2024-08-02,Pantalon,59.99
2024-08-08,Zapatillas,89.99
2024-08-14,Camiseta,29.99
2024-08-20,Chaqueta,119.99
2024-08-26,Pantalon,59.99
2024-09-03,Zapatillas,89.99
2024-09-09,Camiseta,29.99
2024-09-15,Chaqueta,119.99
2024-09-21,Pantalon,59.99
2024-09-27,Zapatillas,89.99
2024-10-03,Camiseta,29.99
2024-10-09,Pantalon,59.99
2024-10-15,Chaqueta,119.99
2024-10-21,Zapatillas,89.99
2024-10-27,Camiseta,29.99
2024-11-02,Pantalon,59.99
2024-11-08,Zapatillas,89.99
2024-11-15,Chaqueta,119.99
2024-11-21,Camiseta,29.99
2024-11-27,Pantalon,59.99
2024-12-03,Zapatillas,89.99
2024-12-09,Camiseta,29.99
2024-12-15,Chaqueta,119.99
2024-12-21,Pantalon,59.99
2024-12-27,Zapatillas,89.99
